StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
VIC, O,1,RIGONI,Maria Marcia,Bank Reform Party,9
VIC, P,1,MUIR,Ricky,Australian Motoring Enthusiast Party,9
VIC, Q,1,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,9
VIC, R,1,JANSON,Vickie,Australian Christians,9
VIC, S,1,KAMPMARK,Binoy,The Wikileaks Party,9
VIC, T,1,CHRISTOE,Ian J,The Greens,9
VIC, U,1,COLLYER,David,Australian Democrats,9
VIC, V,1,TOWNSEND,Dale Phillip,One Nation,9
VIC, W,1,HOWE,Roger,Australian Democrats,9
VIC, Y,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),9
VIC, Z,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),9
VIC, Z,2,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),9
VIC,AA,1,HOPKINS,Ange,Sex Party,9
VIC,AB,1,CHIPP,Greg,Drug Law Reform,9
VIC,AB,2,CHIPP,Greg,Drug Law Reform,9
VIC,AC,1,KAMPMARK,Binoy,The Wikileaks Party,9
VIC,AD,1,TRUONG,Thi Viet Huong,The Greens,9
VIC,AF,1,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,9
VIC,AF,2,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,9
VIC,AG,1,ISGRO,Sarina,Australian Democrats,9
VIC,AH,1,DAWSON,Chris,No Carbon Tax Climate Sceptics,9
VIC,AI,1,KAMPMARK,Binoy,The Wikileaks Party,9
VIC,AI,2,KAMPMARK,Binoy,The Wikileaks Party,9
VIC,AJ,1,COSTABILE,David,Katter's Australian Party,9
VIC,AK,1,FENN,Ashley,Family First,9
VIC,AK,3,TOSCANO,Joseph,,9
VIC,AK,2,CHRISTIE,Simon,Stop The Greens,9
VIC,AL,1,ASSANGE,Julian,The Wikileaks Party,9
VIC,AM,1,JONES,Andrew,Country Alliance,9
VIC, A,1,TOWNSEND,Rosalyn Lee,One Nation,10
VIC, D,1,GILL,Craig A,Australian Motoring Enthusiast Party,10
VIC, E,1,PAPAFOTIOU,Frank,Australian Christians,10
VIC, E,2,PAPAFOTIOU,Frank,Australian Christians,10
